data,size,algo,buildtime,querytime,params,recall
pca96v2,10M,Learned-index,35083.70063495636,399.79549860954285,learned-index-pca96v2-10M-ep=195-lr=0.009-cat=122-model=MLP-2-buck=2-859380.elixir-pbs.elixir-czech.cz,0.82443
pca96v2,10M,Learned-index,24171.901928901672,1708.3716156482697,learned-index-pca96v2-10M-ep=200-lr=0.01-cat=20-model=MLP-7-buck=2-854154.elixir-pbs.elixir-czech.cz,0.89959
pca96v2,10M,Learned-index,9972.28395986557,590.4058718681335,learned-index-pca96v2-10M-ep=55-lr=0.11-cat=122-model=MLP-5-buck=3-861645.elixir-pbs.elixir-czech.cz,0.83883
pca96v2,10M,Learned-index,28471.285014629364,449.54786109924316,learned-index-pca96v2-10M-ep=209-lr=0.007-cat=123-model=MLP-2-buck=2-862165.elixir-pbs.elixir-czech.cz,0.81222
pca96v2,10M,Learned-index,5053.2288818359375,1771.4521036148071,learned-index-pca96v2-10M-ep=40-lr=0.01-cat=50-model=MLP-buck=4-854087.elixir-pbs.elixir-czech.cz,0.93925
pca96v2,10M,Learned-index,29873.312014579773,561.3352673053741,learned-index-pca96v2-10M-ep=209-lr=0.01-cat=123-model=MLP-buck=4-862579.elixir-pbs.elixir-czech.cz,0.90318
pca96v2,10M,Learned-index,6371.184292793274,451.0532774925232,learned-index-pca96v2-10M-ep=50-lr=0.09-cat=116-model=MLP-7-buck=2-861226.elixir-pbs.elixir-czech.cz,0.79358
pca96v2,10M,Learned-index,26672.702328681946,849.667858839035,learned-index-pca96v2-10M-ep=200-lr=0.05-cat=100-model=MLP-7-buck=4-854012.elixir-pbs.elixir-czech.cz,0.90982
pca96v2,10M,Learned-index,6274.388054132462,342.6314787864685,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=124-model=MLP-6-buck=2-861486.elixir-pbs.elixir-czech.cz,0.78935
pca96v2,10M,Learned-index,19911.228219270706,969.4277119636536,learned-index-pca96v2-10M-ep=190-lr=0.01-cat=125-model=MLP-4-buck=6-858544.elixir-pbs.elixir-czech.cz,0.93589
